source,target,effect,p,q,replication,trials,kept,peak_lag,lags,at_the_horizon,conditions
A,C,1.4857,0.000005,0.000012,7,48,1,20.0,66,0,autonomy conversation memory problem_solving salience stress tool_use
A,D,0.0090,0.000005,0.000012,0,48,0,0.0,66,0,
A,G,1.7636,0.000005,0.000012,6,48,1,60.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,I,0.6250,0.126579,0.193087,3,48,0,0.0,66,0,autonomy idle salience
A,M,0.6146,0.000005,0.000012,6,48,1,60.0,66,0,autonomy conversation memory problem_solving salience tool_use
A,N,1.2670,0.000005,0.000012,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
A,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
A,S,0.3711,0.000005,0.000012,5,48,1,31.0,66,0,autonomy conversation memory problem_solving salience
A,W,0.4498,0.000005,0.000012,3,48,1,27.0,66,0,autonomy conversation salience
C,A,0.0960,0.066910,0.109489,1,48,0,41.0,66,0,memory
C,D,0.0017,0.154809,0.232214,0,48,0,0.0,66,0,
C,G,0.0575,0.062755,0.104591,1,48,0,0.0,66,0,problem_solving
C,I,0.2083,0.496923,0.634579,1,48,0,0.0,66,0,autonomy
C,M,0.0022,0.249429,0.357684,0,48,0,0.0,66,0,
C,N,0.0132,0.060270,0.104591,0,48,0,24.0,66,0,
C,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
C,S,0.0284,0.054335,0.097803,0,48,0,0.0,66,0,
C,W,0.0203,0.016865,0.032295,0,48,0,43.0,66,0,
D,A,0.2338,0.000020,0.000045,4,48,0,41.0,66,0,conversation memory salience tool_use
D,C,-0.0636,1.000000,1.000000,0,48,0,46.0,66,0,
D,G,0.1225,0.000270,0.000552,1,48,0,0.0,66,0,conversation
D,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,M,-0.0103,1.000000,1.000000,0,48,0,0.0,66,0,
D,N,1.4658,0.000005,0.000012,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
D,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
D,S,0.0080,1.000000,1.000000,0,48,0,0.0,66,0,
D,W,0.1911,0.000005,0.000012,1,48,0,27.0,66,0,idle
G,A,1.3398,0.000005,0.000012,7,48,1,41.0,66,0,autonomy conversation memory problem_solving salience stress tool_use
G,C,2.2293,0.000005,0.000012,8,48,1,33.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,D,-0.0622,1.000000,1.000000,0,48,0,43.0,66,0,
G,I,-0.0237,1.000000,1.000000,0,48,0,0.0,66,0,
G,M,1.1952,0.000005,0.000012,8,48,1,60.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,N,5.2297,0.000005,0.000012,8,48,1,65.0,66,1,autonomy conversation idle memory problem_solving salience stress tool_use
G,P,-0.0027,1.000000,1.000000,0,48,0,0.0,66,0,
G,S,1.3022,0.000005,0.000012,8,48,1,63.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
G,W,0.8674,0.000005,0.000012,7,48,1,63.0,66,0,autonomy conversation idle problem_solving salience stress tool_use
I,A,1.1767,0.000005,0.000012,8,48,1,41.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,C,0.6236,0.000010,0.000024,4,48,1,53.0,66,0,memory salience stress tool_use
I,D,0.0062,0.000295,0.000590,0,48,0,0.0,66,0,
I,G,0.7595,0.000005,0.000012,6,48,1,42.0,66,0,conversation memory problem_solving salience stress tool_use
I,M,0.2675,0.000135,0.000289,4,48,0,0.0,66,0,memory salience stress tool_use
I,N,3.5021,0.000005,0.000012,8,48,1,53.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
I,P,0.0351,0.500382,0.634579,0,48,0,0.0,66,0,
I,S,0.3036,0.000055,0.000121,3,48,1,0.0,66,0,problem_solving stress tool_use
I,W,0.0847,0.000005,0.000012,0,48,0,43.0,66,0,
M,A,-0.0472,1.000000,1.000000,0,48,0,41.0,66,0,
M,C,1.0751,0.000005,0.000012,6,48,1,42.0,66,0,autonomy conversation idle memory problem_solving salience
M,D,-0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,G,1.7969,0.000005,0.000012,8,48,1,45.0,66,0,autonomy conversation idle memory problem_solving salience stress tool_use
M,I,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,N,0.0251,0.001515,0.002964,0,48,0,42.0,66,0,
M,P,0.0000,1.000000,1.000000,0,48,0,0.0,66,0,
M,S,-0.0029,1.000000,1.000000,0,48,0,0.0,66,0,
M,W,0.1875,0.000005,0.000012,1,48,0,27.0,66,0,idle
